SKU,Nombre,Precio,Opciones,Stock,Descripcion,Imagen
JMN-001,Jersey Microperforado Nuevo,80000,S:80000:3|M:80000:4|L:80000:9|XL:80000:14|2XL:90000:8,,,
JMC-001,Jersey Microperforado Corto,70000,L:70000:2|XL:70000:2|2XL:80000:6,,,
JMD-001,Jersey Micro Corto Dama,70000,S:70000:1|M:70000:2,,,
CAT-001,Camiseta Atardecer,70000,XL:70000:2|2XL:80000:1|3XL:80000:1,,,
GPL-001,Gorra Placa,55000,,13,,
GPU-001,Gorra Punticos,45000,,30,,
MOR-001,Morral 10Lts,60000,,2,,
BAN-001,Banderín,35000,,10,,
PAR-001,Parches,15000,,22,,
CDU-001,Calca DTF-UV,2500,Pequeña:2500:37|Grande:20000:2,,,
PIN-001,Pines,20000,,23,,
BFN-001,Buff Nuevo,25000,Corto:25000:12|Largo:35000:8,,,
HOO-001,Hoodie,130000,,1,,
PAN-001,Pañoleta puntos,25000,,21,,
GBO-001,Gorras bordadas,60000,,23,,
